cluster_id	cluster_written	reads_found	reads_found_fwd	reads_found_rev	reads_written_fwd	reads_written_rev	reads_skipped_fwd	reads_skipped_rev
10002_sub0	1	14	3	11	3	11	0	0
10009_sub0	1	16	9	7	9	7	0	0
1002_sub1	1	37	23	14	10	10	13	4
10045_sub0	1	62	41	21	10	10	31	11
1005_sub2	1	48	22	26	10	10	12	16
10056_sub1	1	33	18	15	10	10	8	5
10062_sub1	1	43	29	14	10	10	19	4
10079_sub0	1	18	13	5	13	5	0	0
1008_sub1	1	38	18	20	10	10	8	10
10121_sub0	1	6	2	4	2	4	0	0
10175_sub0	1	24	12	12	10	10	2	2
10177_sub0	1	16	6	10	6	10	0	0
10185_sub2	1	11	6	5	6	5	0	0
1023_sub1	1	22	14	8	12	8	2	0
10250_sub0	1	31	16	15	10	10	6	5
10263_sub0	1	7	5	2	5	2	0	0
10266_sub0	1	10	7	3	7	3	0	0
1027_sub1	1	40	18	22	10	10	8	12
10278_sub0	1	16	8	8	8	8	0	0
1028_sub4	1	46	23	23	10	10	13	13
1030_sub1	1	106	50	56	10	10	40	46
10312_sub8	1	13	4	9	4	9	0	0
10355_sub0	1	11	7	4	7	4	0	0
10363_sub0	1	31	13	18	10	10	3	8
1037_sub1	1	41	23	18	10	10	13	8
1040_sub1	1	99	45	54	10	10	35	44
1041_sub1	1	66	36	30	10	10	26	20
1044_sub1	1	68	34	34	10	10	24	24
1045_sub1	1	60	31	29	10	10	21	19
10508_sub0	1	21	11	10	10	10	1	0
1052_sub1	1	69	31	38	10	10	21	28
10521_sub0	1	15	7	8	7	8	0	0
1053_sub4	1	98	51	47	10	10	41	37
1055_sub1	1	89	42	47	10	10	32	37
10568_sub0	1	20	10	10	10	10	0	0
10572_sub2	1	8	5	3	5	3	0	0
1060_sub1	1	15	10	5	10	5	0	0
10600_sub1	1	29	14	15	10	10	4	5
1061_sub1	1	44	22	22	10	10	12	12
1062_sub2	1	75	40	35	10	10	30	25
10632_sub1	1	14	8	6	8	6	0	0
10645_sub0	1	19	12	7	12	7	0	0
10655_sub0	1	20	11	9	11	9	0	0
