cluster_id	cluster_written	reads_found	reads_found_fwd	reads_found_rev	reads_written_fwd	reads_written_rev	reads_skipped_fwd	reads_skipped_rev
100_sub0	0	1	1	0	0	0	1	0
100_sub1	0	1	0	1	0	0	0	1
100_sub2	0	1	1	0	0	0	1	0
100_sub3	1	25	12	13	10	10	2	3
100_sub4	0	1	0	1	0	0	0	1
100_sub5	0	1	1	0	0	0	1	0
10001_sub0	0	1	0	1	0	0	0	1
10001_sub1	0	1	0	1	0	0	0	1
10001_sub2	0	1	0	1	0	0	0	1
10001_sub3	0	1	0	1	0	0	0	1
10001_sub4	0	1	1	0	0	0	1	0
10001_sub5	0	1	1	0	0	0	1	0
10001_sub6	0	1	1	0	0	0	1	0
10001_sub7	0	1	0	1	0	0	0	1
10003_sub0	0	1	0	1	0	0	0	1
10003_sub1	0	1	1	0	0	0	1	0
10003_sub2	0	1	0	1	0	0	0	1
10003_sub3	0	1	0	1	0	0	0	1
10003_sub4	0	1	0	1	0	0	0	1
10003_sub5	0	1	0	1	0	0	0	1
10003_sub6	0	1	0	1	0	0	0	1
10003_sub7	0	1	0	1	0	0	0	1
10003_sub8	0	1	1	0	0	0	1	0
10005_sub0	0	1	0	1	0	0	0	1
10005_sub1	0	1	0	1	0	0	0	1
10005_sub2	0	1	0	1	0	0	0	1
10005_sub3	0	1	1	0	0	0	1	0
10005_sub4	0	1	1	0	0	0	1	0
10005_sub5	0	1	1	0	0	0	1	0
10005_sub6	0	1	0	1	0	0	0	1
10005_sub7	0	1	1	0	0	0	1	0
10005_sub8	0	1	0	1	0	0	0	1
10005_sub9	0	1	0	1	0	0	0	1
10005_sub10	0	1	1	0	0	0	1	0
10005_sub11	0	1	1	0	0	0	1	0
10007_sub0	0	1	1	0	0	0	1	0
10007_sub1	0	1	0	1	0	0	0	1
10007_sub2	0	1	1	0	0	0	1	0
10007_sub3	0	2	1	1	0	0	1	1
10007_sub4	0	1	0	1	0	0	0	1
10007_sub5	0	1	0	1	0	0	0	1
10008_sub0	0	1	0	1	0	0	0	1
10008_sub1	0	1	0	1	0	0	0	1
10008_sub2	0	1	1	0	0	0	1	0
10008_sub3	0	1	1	0	0	0	1	0
10008_sub4	0	1	0	1	0	0	0	1
10008_sub5	0	1	1	0	0	0	1	0
10008_sub6	0	1	0	1	0	0	0	1
10008_sub7	0	1	1	0	0	0	1	0
10008_sub8	0	1	1	0	0	0	1	0
10012_sub0	0	1	1	0	0	0	1	0
10012_sub1	0	1	0	1	0	0	0	1
10012_sub2	0	1	0	1	0	0	0	1
10012_sub3	0	1	1	0	0	0	1	0
10012_sub4	0	1	1	0	0	0	1	0
10012_sub5	0	1	1	0	0	0	1	0
10012_sub6	0	1	1	0	0	0	1	0
10012_sub7	0	1	0	1	0	0	0	1
10012_sub8	0	1	0	1	0	0	0	1
10013_sub0	0	1	1	0	0	0	1	0
10013_sub1	0	1	1	0	0	0	1	0
10013_sub2	0	1	0	1	0	0	0	1
10013_sub3	0	1	0	1	0	0	0	1
10013_sub4	0	1	0	1	0	0	0	1
10013_sub5	0	2	2	0	0	0	2	0
10013_sub6	0	1	1	0	0	0	1	0
10013_sub7	0	1	0	1	0	0	0	1
10026_sub0	0	1	0	1	0	0	0	1
10026_sub1	0	1	0	1	0	0	0	1
10026_sub2	0	5	3	2	0	0	3	2
10026_sub3	0	1	0	1	0	0	0	1
10026_sub4	0	1	1	0	0	0	1	0
10026_sub5	0	1	0	1	0	0	0	1
10026_sub6	0	1	0	1	0	0	0	1
10029_sub0	0	2	1	1	0	0	1	1
10029_sub1	0	1	1	0	0	0	1	0
10029_sub2	0	1	1	0	0	0	1	0
10029_sub3	0	2	1	1	0	0	1	1
10029_sub4	0	1	1	0	0	0	1	0
10029_sub5	0	1	0	1	0	0	0	1
10030_sub0	0	1	1	0	0	0	1	0
10030_sub1	0	1	0	1	0	0	0	1
10030_sub2	0	1	0	1	0	0	0	1
10030_sub3	0	1	1	0	0	0	1	0
10030_sub4	0	1	1	0	0	0	1	0
10030_sub5	0	1	0	1	0	0	0	1
10034_sub0	0	1	0	1	0	0	0	1
10034_sub1	0	1	1	0	0	0	1	0
10034_sub2	0	1	1	0	0	0	1	0
10034_sub3	0	1	1	0	0	0	1	0
10034_sub4	0	1	1	0	0	0	1	0
10034_sub5	0	1	1	0	0	0	1	0
10034_sub6	0	1	0	1	0	0	0	1
10034_sub7	0	1	0	1	0	0	0	1
10034_sub8	0	1	1	0	0	0	1	0
10035_sub0	0	1	1	0	0	0	1	0
